e397	(4 21)
e398	(4 21)
e399	(4 21)
e400	(4 21)
e401	(4 21)
e402	(4 21)
e405	(5 22)
e406	(3 20)
e407	(3 20)
e408	(2 19)
e410	(4 21)
e413	(2 19)
e414	(2 19)
e415	(3 20)
e416	(2 19)
e417	(3 20)
e419	(2 19)
e420	(16 33)
e421	(2 19)
e423	(4 21)
e424	(6 23)
e425	(2 19)
e427	(2 19)
e428	(3 20)
e431	(1 18)
e432	(1 18)
e433	(2 19)
e434	(4 21)
e435	(2 19)
e436	(2 19)
e437	(2 19)
e438	(1 18)
e439	(1 18)
e442	(2 19)
e443	(3 20)
e444	(2 19)
e445	(2 19)
e447	(3 20)
e448	(2 19)
e449	(2 19)
e450	(2 19)
e452	(2 19)
e453	(1 18)
e454	(1 18)
e455	(1 18)
e456	(1 18)
e457	(1 18)
e458	(1 18)
e459	(1 18)
e460	(2 19)
e461	(1 18)
e462	(1 18)
e463	(1 18)
e464	(2 19)
e466	(1 18)
e468	(2 19)
e469	(2 19)
e470	(2 19)
e471	(2 19)
e472	(2 19)
e475	(2 19)
e476	(1 18)
e478	(1 18)
e480	(2 19)
e482	(3 20)
e483	(2 19)
e484	(2 19)
e485	(2 19)
e486	(2 19)
e487	(2 19)
e488	(2 19)
e489	(2 19)
e490	(2 19)
e491	(2 19)
e492	(2 19)
e494	(2 19)
e496	(3 20)
e497	(3 20)
e499	(4 21)
e500	(4 21)
e502	(10 27)
e504	(7 24)
e505	(7 24)
e506	(3 20)
e507	(7 24)
e510	(5 22)
e511	(1 18)
e512	(3 20)
e514	(6 23)
e515	(6 23)
e516	(6 23)
e517	(10 27)
e518	(10 27)
e519	(6 23)
e520	(6 23)
e521	(6 23)
e522	(8 25)
e523	(8 25)
e524	(9 26)
e525	(7 24)
e527	(5 22)
e529	(10 27)
e530	(12 29)
e531	(10 27)
e532	(2 19)
e533	(4 21)
e534	(5 22)
e535	(4 21)
e536	(1 18)
e537	(5 22)
e538	(11 28)
e539	(9 26)
e540	(1 18)
e541	(1 18)
e542	(2 19)
e544	(9 26)
e545	(8 25)
e546	(12 29)
e547	(7 24)
e548	(8 25)
e549	(9 26)
e550	(9 26)
e551	(6 23)
e553	(1 18)
e554	(1 18)
e555	(7 24)
e556	(11 28)
e557	(1 18)
e558	(5 22)
e559	(3 20)
e560	(3 20)
e561	(3 20)
e562	(2 19)
e568	(14 31)
e571	(10 27)
e572	(7 24)
e575	(9 26)
e576	(9 26)
e577	(9 26)
e578	(8 25)
e579	(9 26)
e580	(8 25)
e581	(7 24)
e582	(11 28)
e583	(5 22)
e584	(6 23)
e585	(15 32)
e586	(13 30)
e588	(13 30)
e589	(13 30)
e590	(13 30)
e591	(13 30)
e592	(13 30)
e593	(13 30)
